county,year,totalPopulation
Yuma,2029,10199
Saguache,2022,6479
Pitkin,2026,17519
Kit Carson,2040,7190
Kiowa,2029,1410
Morgan,2037,32908
Custer,2014,4440
Mesa,1999,114570
Washington,2041,4686
Conejos,2030,7166
San Miguel,2008,7306
Gilpin,2036,5635
Larimer,2025,383900
Moffat,2044,11983
Costilla,2033,3244
Mineral,2011,703
Clear Creek,1994,8460
Phillips,2044,4400
Gunnison,2003,14208
Saguache,2003,6281
Eagle,2029,59353
Jefferson,1996,498048
Montrose,2034,51029
Broomfield,2029,93150
Archuleta,1993,6183
Phillips,1990,4189
Denver,2027,778168
Baca,2049,2939
Weld,2006,231284
Montezuma,2022,26034
Chaffee,2036,21684
Gunnison,2018,16679
El Paso,2005,569322
Lake,2010,7282
Kiowa,2020,1458
Phillips,2010,4465
San Juan,2035,665
Rio Grande,2031,11439
Las Animas,2012,15248
Baca,1991,4438
Phillips,1995,4477
Kiowa,2003,1556
Otero,2016,18792
Weld,2034,472106
Huerfano,2035,6164
Douglas,2049,466227
Alamosa,2023,16598
Pitkin,1997,14796
Alamosa,1991,13641
Washington,2009,4777
Park,2031,18849
Fremont,2026,48942
Denver,2022,733279
Lake,2018,7329
Douglas,2014,314613
Teller,2038,27923
Saguache,1996,5426
Lincoln,2008,5517
Sedgwick,2000,2742
Jefferson,2013,552241
Rio Blanco,1999,6093
Moffat,2006,13105
Montrose,2036,52109
Lake,2007,7270
Lincoln,2042,6115
San Miguel,1994,5308
Yuma,2045,10029
Pitkin,2005,16134
Prowers,2037,11112
Cheyenne,2040,1650
Alamosa,2049,17143
Routt,2022,25069
Morgan,2034,32270
Eagle,2049,70845
Hinsdale,2027,824
Ouray,2023,4908
Moffat,2000,13182
Washington,2046,4471
Las Animas,2015,14994
La Plata,2049,79183
Morgan,1991,22703
Boulder,2033,363468
Pueblo,1999,139718
Mesa,2033,187219
Boulder,2050,396766
Jackson,2036,1257
San Miguel,2041,11016
San Juan,2030,679
Prowers,2030,11568
Pueblo,2005,149974
Fremont,2038,50473
Grand,2030,16939
Crowley,2026,5985
Alamosa,2010,15474
Arapahoe,2025,688688
Prowers,2003,13824
Huerfano,2000,7826
Pueblo,2033,183283
Ouray,2047,5630
Arapahoe,2016,637657
Hinsdale,2039,842
Crowley,2017,5832
Cheyenne,2010,1834
Clear Creek,2050,11329
Broomfield,2017,69658
Clear Creek,2008,9294
Huerfano,2032,6437
Rio Grande,2012,11914
Washington,2037,4819
Gilpin,2047,5398
Summit,2049,37085
Summit,2035,34106
Dolores,2050,1700
Conejos,2042,6961
Lake,2013,7077
Broomfield,2038,95841
Chaffee,2042,22175
Bent,2026,5500
Pueblo,1992,124412
Garfield,2000,44239
Washington,2032,4932
Morgan,2048,34767
Mineral,1996,735
Grand,2047,19180
Custer,2020,4710
Crowley,2045,6181
Rio Grande,2017,11689
Lake,2011,7238
Lincoln,1991,5432
Baca,2037,3101
Custer,2012,4371
Washington,2030,4934
Alamosa,2013,15714
Moffat,2022,13243
Denver,2015,675533
Crowley,2008,5890
Yuma,2005,9891
Bent,2010,6506
Costilla,2037,3171
Sedgwick,2026,2460
Gilpin,1998,4241
Clear Creek,2011,9028
Logan,2014,21964
Pitkin,2029,17669
Dolores,2010,2060
Ouray,2027,4983
Mineral,1993,603
Mesa,2046,219323
San Juan,2006,673
Moffat,2050,11541
San Juan,2005,647
Baca,2042,3027
Delta,2037,34615
Douglas,2041,456121
Sedgwick,2024,2425
El Paso,1994,456506
Montrose,1997,31251
Gunnison,2027,17714
Arapahoe,2039,785031
El Paso,2014,665764
Jefferson,2028,606176
La Plata,2050,79820
San Miguel,2035,10315
Elbert,1992,10764
Lincoln,2000,6164
Teller,2037,27825
Delta,2008,30340
Summit,2032,33420
Alamosa,2031,16844
Montezuma,2003,24379
Saguache,2006,6242
Crowley,2037,6112
Phillips,2025,4536
Sedgwick,2034,2397
Garfield,2008,54228
Dolores,2018,2090
Rio Blanco,2018,6588
Archuleta,1990,5352
Hinsdale,2022,794
Logan,2035,22512
Lincoln,2046,6232
Broomfield,2033,95267
Routt,2001,20430
Chaffee,2049,22548
Saguache,2049,6791
San Juan,2043,671
Eagle,2042,67838
Rio Blanco,2002,5936
Alamosa,2020,16326
Larimer,2020,359698
Park,2034,19033
Park,2049,18670
Lake,1996,7554
Garfield,2005,49261
Pueblo,2050,194564
Garfield,2033,75917
Montezuma,2009,25362
Douglas,2012,298735
Routt,1998,18605
Fremont,2035,50079
Crowley,2000,5128
Gilpin,2004,4826
Alamosa,2042,17107
Larimer,2034,434727
Logan,2032,22327
Teller,2015,23008
Sedgwick,2035,2392
Teller,2039,28023
Bent,2014,5845
Sedgwick,2017,2398
Larimer,2041,470052
Summit,2013,28861
Fremont,1993,36504
Larimer,2018,350663
Bent,2012,5865
Morgan,2001,27473
Lincoln,2005,5789
La Plata,2030,65091
Kit Carson,1995,7413
Saguache,2009,6128
Baca,2048,2944
Lincoln,2012,5501
Jefferson,2045,636766
Moffat,2032,12716
Delta,1997,26001
Washington,2006,4981
Clear Creek,2004,9459
Pitkin,2008,16674
Lincoln,2013,5517
Prowers,1996,14009
Clear Creek,2046,11234
Kit Carson,2045,7246
Archuleta,2033,16062
Larimer,2049,506589
Jackson,2026,1310
Archuleta,2002,10695
Rio Blanco,2003,5854
Morgan,2046,34456
Rio Blanco,2000,5967
Elbert,2031,34858
Bent,2013,5799
Routt,1995,17257
Grand,2007,14341
Jackson,2002,1590
Yuma,1993,9172
Weld,2030,429760
Fremont,2025,48871
Clear Creek,2028,9807
Montezuma,2021,25860
Logan,2007,22402
Rio Grande,2005,12695
Teller,2022,25169
Logan,2034,22454
San Miguel,2037,10570
Pitkin,2024,17386
Kiowa,1992,1700
Mesa,2027,169234
Chaffee,2020,19514
Jefferson,2014,559017
Custer,2036,4311
Denver,2005,559459
Otero,1991,20374
Delta,2012,30554
La Plata,2023,57830
Boulder,1995,257502
Kit Carson,2037,7159
Moffat,2027,12971
Ouray,2016,4718
El Paso,2045,966947
Gilpin,2014,5537
Eagle,1998,37611
Kit Carson,2028,7054
Bent,2036,5434
Adams,2047,775785
Otero,2038,16606
Gunnison,2031,18290
Bent,2034,5449
Saguache,2013,6163
Conejos,2017,7754
Costilla,2016,3516
Crowley,2003,5161
Bent,2043,5387
Douglas,2023,378976
Delta,1990,20980
Yuma,2021,9997
Chaffee,2027,20469
Custer,2038,4238
Elbert,2025,29987
Bent,2008,6010
Lincoln,2050,6370
Douglas,2034,434710
Summit,2031,33188
Fremont,2027,49009
Otero,1999,20408
San Juan,2024,693
Baca,1999,4522
Montezuma,2043,29315
Clear Creek,1996,8722
Moffat,2043,12057
Dolores,2009,2051
Hinsdale,2014,822
Jefferson,1993,476206
Hinsdale,2007,847
Crowley,1995,4220
Teller,2040,28123
Jackson,2009,1386
Phillips,2027,4538
Adams,2004,385940
Archuleta,1996,7929
Bent,2035,5438
Chaffee,2008,17399
Moffat,1990,11357
Yuma,2014,10181
Gunnison,2017,16467
Conejos,2006,8471
Phillips,2050,4366
Adams,2041,718670
Prowers,2044,10562
Las Animas,2013,15168
Custer,2002,3781
Logan,2004,22178
Summit,1994,17107
Sedgwick,2038,2371
Las Animas,2050,11468
Chaffee,1994,14104
Garfield,2011,56271
Otero,2013,18798
Hinsdale,2028,819
Sedgwick,2036,2388
Phillips,2014,4492
Montezuma,2036,28608
Custer,2047,3891
Moffat,2014,13012
Archuleta,2043,18505
Huerfano,2022,6793
Denver,1997,527442
Saguache,1990,4619
Conejos,2039,7039
Mineral,2038,916
Elbert,2010,23107
Adams,1993,290782
Prowers,1999,14372
Jefferson,2007,527121
Washington,1999,5022
Dolores,2021,2091
San Juan,2020,706
Costilla,2009,3504
Lincoln,2040,6102
Saguache,2002,6244
Ouray,2040,5356
Summit,2001,26290
Delta,2019,31235
San Juan,1998,552
Adams,2025,552929
Saguache,2024,6522
San Miguel,2031,9713
Larimer,1991,193546
Logan,2008,22320
Bent,2042,5389
Grand,2002,13458
Moffat,2033,12653
Logan,1992,17567
Eagle,2033,61991
Sedgwick,2029,2437
Delta,2043,35570
Cheyenne,2036,1688
Las Animas,2021,14443
Garfield,2015,57498
Otero,1990,20185
Jackson,2048,1188
Hinsdale,2008,825
Montrose,2050,55996
La Plata,1990,32466
Moffat,2037,12424
Conejos,2022,7296
Rio Grande,2036,11255
Garfield,1993,32579
Morgan,1993,24238
Eagle,1997,35206
Las Animas,2020,14562
Moffat,2018,13292
Conejos,1996,8021
Moffat,2049,11607
Logan,2045,23029
Grand,1997,10960
Archuleta,2050,19855
Park,1995,10575
Eagle,2003,45757
Clear Creek,2044,11153
Boulder,1992,238392
Custer,2017,4542
Alamosa,2047,17142
Conejos,2010,8282
Summit,2033,33643
Prowers,2031,11507
Gilpin,2013,5511
Ouray,2022,4888
Phillips,2008,4449
Bent,1993,5357
Logan,2048,23134
Morgan,2028,30870
Mineral,2012,720
Gilpin,2005,4893
Moffat,1991,11453
Moffat,2013,13192
Crowley,2015,5840
Summit,2017,31135
Denver,2001,563301
Montrose,2004,36129
Bent,1991,4965
Broomfield,2040,95747
Yuma,2017,9970
Garfield,2027,68001
Rio Grande,2003,12622
Conejos,2032,7145
Kiowa,1996,1662
Baca,2047,2964
Lincoln,2020,5658
San Miguel,2032,9865
Custer,1997,3060
El Paso,2002,545239
Jefferson,2049,637090
Garfield,2032,74564
Archuleta,2026,14373
Las Animas,1997,15048
Denver,2021,725107
Broomfield,2045,94924
Kiowa,2041,1321
Garfield,2042,87730
Bent,2019,5979
San Miguel,2034,10168
Huerfano,2012,6689
Morgan,2022,29361
Eagle,2028,58924
Gilpin,2026,5746
Lincoln,2023,5791
Arapahoe,2018,650166
Weld,2037,501942
Routt,2032,30104
Montezuma,2007,25184
Lincoln,2027,5951
Dolores,1992,1401
Yuma,2032,10178
Denver,1990,467856
Costilla,2030,3298
Ouray,2029,5022
Lake,2016,7239
Summit,2000,25708
Montrose,2040,53869
Dolores,2013,2082
Rio Blanco,2016,6620
Alamosa,2017,16053
Grand,2037,17988
Logan,2000,20656
Chaffee,2045,22359
Grand,2020,15711
Jackson,2047,1197
Huerfano,2028,6669
San Juan,1997,572
Mesa,1995,105412
Garfield,2044,89952
Huerfano,2042,5406
Logan,2011,22208
Lake,2042,8722
Hinsdale,2045,853
Washington,2018,4814
Jackson,2039,1238
Kit Carson,1991,7156
El Paso,2036,895186
Douglas,2002,209706
Broomfield,2018,71320
Ouray,2025,4942
Elbert,2028,32693
Chaffee,2013,18035
Mineral,2026,921
Gunnison,2044,19944
Pueblo,2046,193033
Garfield,2026,66882
Conejos,1998,8186
Routt,2025,26583
Larimer,1997,232800
Summit,2034,33879
San Juan,2049,678
Lake,2045,8799
San Miguel,2027,9054
Las Animas,2044,12413
Arapahoe,2033,746152
Kiowa,2028,1419
Grand,2003,13681
Mesa,2040,206151
San Juan,2047,678
Denver,2010,604879
Fremont,2007,46662
Summit,2005,26621
Montrose,2013,41331
Montrose,2042,54554
Routt,2039,33088
Eagle,1995,30882
Delta,2047,36037
Larimer,1995,221626
El Paso,2001,536336
Summit,1999,22568
Rio Blanco,2023,6507
Boulder,2041,384166
Gunnison,2020,16943
Hinsdale,2016,808
Moffat,2016,13266
Elbert,2016,24448
Gunnison,2046,20119
Saguache,1992,4796
Eagle,2002,45104
Garfield,2003,47483
Arapahoe,2028,711027
Adams,2003,377669
Mineral,1995,669
Gunnison,2023,17187
Larimer,2032,423990
Washington,2010,4815
Hinsdale,2001,801
Boulder,1996,261769
Larimer,2033,429395
Kiowa,2050,1260
Ouray,2028,4997
Crowley,2043,6158
Denver,2047,856478
Sedgwick,2013,2383
Summit,2038,34821
Otero,2027,18069
Adams,2034,646904
Chaffee,1995,14659
Clear Creek,1998,9005
Conejos,2025,7234
Fremont,2005,46448
Broomfield,2002,42430
Teller,2014,23117
Arapahoe,2020,655047
Rio Blanco,2044,5864
El Paso,2049,989383
Bent,2018,5979
Logan,2003,22374
Costilla,1998,3708
Archuleta,2023,13863
Saguache,1997,5492
Sedgwick,2022,2400
Cheyenne,1994,2297
Kiowa,2018,1441
Ouray,2009,4372
Sedgwick,2028,2442
Pitkin,1993,14060
Eagle,2010,52057
San Miguel,1998,6452
Bent,2011,6356
San Juan,2032,668
San Juan,1992,575
Yuma,2037,10167
Crowley,2018,5839
Archuleta,2003,10965
Saguache,1993,4831
El Paso,2043,953614
Morgan,2003,27852
Lincoln,2043,6136
Jackson,2003,1587
Kiowa,2042,1315
Pueblo,2037,187185
Denver,2046,858041
Fremont,1995,40520
Archuleta,2032,15800
Custer,1999,3357
Montezuma,2010,25532
Moffat,2010,13806
Routt,2026,27117
Saguache,2028,6559
Park,2005,16063
Summit,2029,32721
Park,2020,17427
Weld,1997,166839
Las Animas,2017,14813
Routt,2036,31889
Las Animas,2009,15478
El Paso,2003,551671
Lincoln,1992,5972
Denver,2028,786361
Huerfano,2027,6703
Teller,2009,23201
Gilpin,2029,5680
Gilpin,2020,5799
Douglas,1990,61562
Las Animas,2007,15525
Weld,2013,269766
Weld,2032,451801
Yuma,2042,10110
Kiowa,1998,1655
Montrose,2044,55106
Routt,2000,20122
Boulder,2043,388238
Moffat,2047,11763
Weld,2031,441652
Baca,2011,3758
Cheyenne,2028,1739
Baca,2040,3053
Park,2000,14728
Ouray,2024,4933
Hinsdale,2004,833
El Paso,2021,737865
Broomfield,2012,59275
Yuma,2007,9882
Gilpin,1993,3372
Conejos,2007,8434
Montrose,2016,41595
Rio Grande,2025,11540
Dolores,2030,1990
Garfield,1997,38887
Bent,2017,5969
Broomfield,1999,0
Garfield,2013,56801
Rio Blanco,1993,6261
Montrose,2003,35637
Cheyenne,2018,1786
Ouray,2020,4881
Larimer,2042,474832
Teller,2011,23264
Montrose,2037,52597
Delta,2041,35291
Mineral,1990,558
Custer,2050,3782
Gunnison,1994,11667
Arapahoe,1999,481307
Archuleta,2005,11402
Alamosa,2038,17032
Weld,2025,373611
Las Animas,2048,11772
Clear Creek,2029,9910
Cheyenne,2045,1595
Hinsdale,2024,808
Grand,2031,17095
Montezuma,2026,26910
Yuma,1990,8954
Eagle,2041,67300
Phillips,2004,4584
Kit Carson,2015,7566
Bent,2002,6205
Costilla,1991,3264
Chaffee,1999,15935
El Paso,1995,469692
Summit,2008,27463
Teller,2008,23103
San Juan,2050,692
Pitkin,2016,17689
Montezuma,2045,29486
Routt,2020,24836
San Miguel,2022,8194
Prowers,2034,11320
Baca,2039,3070
Routt,2008,22934
Logan,2018,21615
Phillips,2005,4547
Kiowa,2023,1454
Broomfield,2031,94732
Washington,2007,4925
Otero,2046,15304
Conejos,2021,7321
Summit,2018,31093
Clear Creek,1997,8880
Conejos,2015,7928
Sedgwick,1991,2668
Gunnison,2026,17556
Conejos,2005,8499
Ouray,2004,4028
Chaffee,2046,22411
Otero,2026,18180
Prowers,1993,13420
Gunnison,2005,14473
Yuma,2038,10151
Pitkin,1996,14548
Adams,2022,529891
Weld,2035,482139
Archuleta,2028,14799
Mineral,2048,870
Rio Blanco,2019,6532
Las Animas,2041,12860
Chaffee,2031,21186
Clear Creek,2018,9390
Boulder,2001,283508
Douglas,2010,287124
Mesa,2002,121786
Dolores,2039,1859
Boulder,2018,328058
Rio Grande,2048,10300
Lake,2041,8689
La Plata,2048,78548
Kit Carson,2047,7276
Bent,2021,5594
Adams,2009,436321
Denver,2029,794411
Huerfano,2041,5519
Jackson,2043,1210
Jefferson,2001,528070
Teller,2030,26965
Pitkin,2000,15763
Ouray,2044,5513
Montrose,2009,40685
Conejos,2047,6806
San Juan,2038,661
Elbert,1991,10267
Summit,1995,18274
Mineral,2050,851
Baca,2003,4257
Dolores,2001,1861
Lake,1998,7827
Logan,2046,23067
Gilpin,2007,4956
Pueblo,2041,190277
Clear Creek,2042,11055
Prowers,2014,12022
Morgan,2050,35086
Rio Grande,1997,11968
Kiowa,2010,1399
Montezuma,2030,27708
Jefferson,2016,571744
Mineral,2036,912
Douglas,2027,401709
Boulder,2038,376967
Broomfield,2036,95770
Denver,2043,862312
Gunnison,1995,11982
Sedgwick,2011,2370
Garfield,2018,59770
Hinsdale,2037,834
Weld,2010,254230
Teller,2019,24680
Chaffee,2024,19992
Dolores,2043,1796
Kit Carson,2038,7168
Arapahoe,2029,718181
Las Animas,2004,15702
Pitkin,2013,17318
Cheyenne,1999,2276
Montrose,2015,41458
Custer,2019,4641
Washington,2022,4837
Chaffee,2028,20655
Rio Grande,2029,11487
Costilla,2022,3449
Gilpin,2008,5084
Eagle,2040,66725
Prowers,2045,10475
Hinsdale,2015,813
Bent,2029,5491
Hinsdale,1996,710
Washington,2034,4894
Arapahoe,2008,556252
Montrose,2011,41249
Clear Creek,2048,11291
Phillips,2036,4472
San Juan,2017,696
Weld,2045,576655
Phillips,2000,4451
Ouray,1996,3256
Adams,2031,615243
Cheyenne,2005,2042
Grand,2012,14925
Washington,2050,4277
Rio Blanco,1998,6230
Washington,2029,4922
Jefferson,2022,586506
Otero,2003,19666
Adams,2002,371182
Elbert,2050,37670
Las Animas,2027,14224
La Plata,1992,34430
Pitkin,2021,17308
Grand,2026,16433
Logan,2026,21920
Yuma,1992,9008
San Miguel,2002,7040
Logan,2042,22896
Lake,2009,7174
Arapahoe,1994,436413
Rio Grande,2038,11146
Archuleta,1994,6538
Ouray,2008,4407
Costilla,2004,3802
Dolores,1990,1504
Broomfield,2015,65828
Mineral,1998,778
Baca,2031,3211
Ouray,2021,4869
Lake,2046,8823
Moffat,2015,13039
Eagle,2001,44440
Montrose,2001,34443
Eagle,2007,49286
Douglas,1998,144352
Pueblo,2031,181032
Huerfano,2020,6799
Washington,2039,4759
Garfield,2035,78609
Costilla,2028,3331
San Juan,2029,685
Pitkin,1992,13365
Cheyenne,2033,1708
Conejos,2034,7121
Arapahoe,2001,501667
Dolores,2008,2074
Washington,2040,4716
Archuleta,2042,18281
Park,2011,15896
Douglas,2030,417107
Broomfield,1998,0
Boulder,2021,332892
Conejos,2040,7014
San Juan,2001,568
Sedgwick,1998,2679
Jefferson,2018,579822
Morgan,2044,34150
Hinsdale,2000,792
Broomfield,1997,0
Summit,1991,13469
Washington,2038,4793
El Paso,2018,717809
Kit Carson,2012,8084
Alamosa,2001,15230
Clear Creek,2001,9468
Dolores,2049,1715
Douglas,2036,442004
Phillips,2012,4479
Dolores,2024,2057
Custer,1993,2322
Lake,2012,7100
Crowley,2024,5927
Cheyenne,2009,1829
Pitkin,2023,17353
Sedgwick,2001,2694
El Paso,2011,639137
Larimer,2009,297501
Baca,2044,3004
